Albany,Boston,277.1
Albany,Syracuse,234.2
Albuquerque,Denver,647.7
Albuquerque,El_Paso,436.9
Atlanta,Birmingham,266.2
Atlanta,Charlotte,439.2
Atlanta,Jacksonville,554.1
Baltimore,Philadelphia,179.2
Baltimore,Washington_DC,67.2
Baton_Rouge,Houston,500.2
Baton_Rouge,New_Orleans,147.4
Billings,Seattle,1293.1
Billings,Minneapolis,1468
Birmingham,Nashville,352.4
Birmingham,New_Orleans,582.5
Boston,Providence,79.9
Buffalo,Syracuse,272
Buffalo,Cleveland,336.4
Charlotte,Greensboro,159.9
Chicago,St_Louis,501.6
Chicago,Detroit,459.1
Chicago,Milwaukee,165.3
Cincinnati,Columbus,193.2
Cincinnati,Louisville,177.5
Cincinnati,Washington_DC,777.1
Cleveland,Columbus,239
Cleveland,Toledo,191.2
Columbus,Pittsburgh,294.7
Dallas,Tulsa,560
Dallas,El_Paso,1189.9
Dallas,Houston,432.7
Dallas,Little_Rock,554
Denver,Omaha,920.3
Denver,Salt_Lake_City,731.3
Detroit,Toledo,107.2
El_Paso,San_Antonio,964.5
El_Paso,Tucson,505.7
Greensboro,Washington_DC,508
Greensboro,Louisville,690.4
Greensboro,Raleigh,131.1
Hartford,New_York,215.6
Hartford,Providence,125.6
Houston,San_Antonio,425
Jacksonville,Raleigh,809
Jacksonville,West_Palm_Beach,522
Kansas_City,Omaha,314
Kansas_City,St_Louis,470.9
Kansas_City,Tulsa,418.4
Las_Vegas,Oakland,786
Las_Vegas,Los_Angeles,484.5
Las_Vegas,Phoenix,495.9
Las_Vegas,Salt_Lake_City,700
Little_Rock,Nashville,639.2
Los_Angeles,San_Diego,223.8
Los_Angeles,Santa_Barbara,150.7
Louisville,Nashville,295.1
Louisville,St_Louis,473.8
Miami,Tampa,397.1
Miami,West_Palm_Beach,129.8
Milwaukee,Minneapolis,568.3
Minneapolis,Omaha,561.3
New_Orleans,Tallahassee,653.4
New_York,Newark,24.2
New_York,Scranton,199.6
Newark,Philadelphia,136.1
Oakland,Sacramento,132.6
Oakland,Salt_Lake_City,1135.7
Oakland,San_Francisco,25.7
Philadelphia,Scranton,193.4
Phoenix,San_Diego,574.7
Phoenix,Tucson,222.5
Pittsburgh,Scranton,473.6
Portland,Sacramento,937.7
Portland,Seattle,279.1
Salt_Lake_City,Seattle,1463.4
San_Francisco,San_Jose,77.2
San_Jose,Santa_Barbara,447
Scranton,Syracuse,223.8
Tallahassee,Tampa,394.1
